track_id,version,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
20160692,after,-0.33491784,0.58186346,-0.17476252,-0.0010590439,-0.33558635,2.0516682,-0.18400448,-0.24436753
20160696,after,-0.89790022,0.59788958,-0.062629977,0.42997486,-0.097566751,-0.37706438,0.22064889,-0.710051
20160711,after,-1.1096272,-0.55497246,-0.2263981,-0.86682235,-0.47541003,-0.64291344,-0.14383021,0.15111608
20160721,after,-0.5112117,0.14959127,1.299164,-0.57474027,-0.036768047,-0.77713834,-0.69486357,0.99461744
20160729,after,-0.47255961,0.1324502,1.3864721,0.80437641,0.29226799,-1.2614818,0.51744886,-0.35083355
20160735,after,1.0808445,1.2942341,0.36848916,-0.96443827,-1.8500363,0.4249124,-1.2775235,-0.471477
20160742,after,0.11282747,0.57557436,0.051439722,-0.27071208,0.17335953,0.38829714,-0.0018139529,-0.52080544
20160754,after,-0.49695313,0.38300786,0.97125079,0.052738873,1.1917532,0.59324483,0.66030093,0.097886931
20160775,after,0.56702392,-0.7720121,-0.98834106,-0.18858001,1.1374461,0.48234249,0.80851798,0.010675292
20160797,after,-0.29279281,0.26420703,-0.1433643,-0.32245057,0.44826089,-0.5435205,0.21340767,-0.39135852
20160800,after,-0.074072866,-0.83555666,-0.72522489,-0.49450087,0.71970379,-0.14513131,0.16482983,0.44757512
20160815,after,0.11738789,0.57227803,0.44178237,0.50035325,-0.62859961,-0.13529137,-0.86820907,-0.70610684
20160861,after,-1.4011768,-0.89543102,-0.45402538,-0.011974996,-1.3877403,0.67848115,-0.76980288,-0.99703685
20160881,after,-0.66851694,0.1565208,-0.3708547,0.025364995,-0.48408117,0.49216654,-0.12364578,-0.77408653
20160903,after,-0.96095773,-0.22771411,0.45199115,-0.393805,1.7082197,0.33740638,0.56955504,0.63534959
20160911,after,-0.33961353,0.41921419,-0.7436451,-0.63516646,0.37921557,-0.62150003,0.31918126,0.31413616
20160922,after,-1.5622026,-0.4562724,0.16124899,0.60345364,-0.7143935,0.28180021,1.1451327,-0.31285014
20160927,after,0.33749545,0.36090643,-1.3093319,0.0075931861,1.4527133,-0.2588435,0.59932804,-1.0615347
20160980,after,-1.3832392,-0.10636367,-0.4061539,1.2141951,-0.25301002,-0.48414618,0.48961388,0.072549619
20160994,after,1.4534728,-1.266148,0.19210603,-0.78930404,1.0932014,0.46174673,-1.04577,-0.90987343
20160999,after,0.53632629,-0.38543885,-0.95580872,-0.39343535,1.6434579,-0.3218885,-1.2946424,-0.018542405
20161003,after,0.08422351,-2.1674666,0.39543059,0.48836982,-0.9729733,-0.53561258,-1.4873378,3.0676958
20161008,after,0.90441947,0.36366133,3.8199564,1.0835216,0.42165589,-1.1897022,1.2049582,0.45811592
20161021,after,0.48306166,-0.39409074,-0.18026528,0.2639155,2.5395645,-1.3061,0.80860757,-0.32111416
20161043,after,0.0094773197,-0.11307133,1.9530095,-1.3368218,-2.0451411,0.69839718,-0.4800021,0.94216012
20161051,after,0.708126,-0.78924158,-0.33378079,-0.42097195,0.0087358115,-1.0193016,-1.366919,-0.090830674
20161052,after,-0.48474767,-0.093839325,-0.044061851,-0.32155922,-0.34820327,-0.64872768,-0.41881502,-0.32772232
20161071,after,-0.80317115,-0.60246067,-0.18362508,1.1427922,-0.29669192,-0.78560631,0.29701999,-0.58072829
20161085,after,0.63440461,0.45793805,-0.21651357,0.14125104,-0.32502361,-0.19370286,-1.0114123,-0.39460873
20161087,after,0.656186,-1.3963709,-0.90402515,1.3449074,-0.98212222,-0.29933507,-0.88373017,2.1933707
20161097,after,-0.87771672,0.39352303,-0.27278981,-0.34789171,-0.69949633,0.20021065,0.074222421,0.023168254
20161098,after,-0.082333424,0.050302943,-1.601464,-0.82677649,0.078025608,0.22642542,0.55497069,-0.23963874
20161120,after,0.063607631,-0.025195993,-0.20989131,0.0049684779,-0.61076748,0.095618823,-0.60581476,-0.77323074
20161121,after,-1.02559,1.181302,-0.80660654,-0.12125888,-0.0030262039,-0.200644,-0.034083134,0.20942381
20161158,after,-1.0142566,-1.0946248,1.3807025,-1.0257107,-0.83183015,0.9334829,2.1543564,-0.0053328291
20161168,after,0.060758774,0.92824235,-0.94897522,-0.30638277,0.098809428,-0.76012567,-1.0102909,0.25257765
20161180,after,0.2402673,-0.12885228,0.20182377,1.4273634,-1.1680468,-0.90945287,-0.075228759,-0.17166233
20170008,after,-0.64184349,0.47924076,0.20136215,0.24813338,-0.33523759,0.60687488,-0.6200658,-0.73608958
20170020,after,0.34696613,-0.47008953,-0.20308908,-0.10646778,-1.3085773,0.38834585,0.75548435,1.0231049
20170022,after,-1.0394129,-0.029817518,0.04004284,0.67400847,0.10327966,-0.56547733,0.41752301,-0.19593147
20170023,after,-0.31513247,-0.89893237,0.34208017,-1.311904,0.1468336,1.0549444,-0.23285062,0.24035425
20170033,after,-0.32990436,-0.0071465486,-0.69242884,0.012553203,-0.53755546,0.47343099,0.87434256,0.20064374
20170039,after,-1.2595461,-0.15667042,-1.2751944,-0.62905407,-0.19689422,-0.07791203,0.52544042,0.63730281
20170049,after,1.5466333,0.070645271,-0.69678997,-1.0655699,-0.39408501,-2.3941631,-0.3488823,1.2504932
20170056,after,-0.82941408,-0.96263757,1.0488535,-0.13115182,-0.97598569,0.14225207,-0.015375629,-0.92602118
20170082,after,-0.39370649,-0.61748655,1.8188359,-1.2256932,-0.58130943,-0.18720764,-1.4288664,-1.1745218
